local_index,mp_id,visible_count,blocked_count,visible_ratio,blocked_ratio,mean_visible_disp_xy,mean_visible_disp_xyz
0,36,874,0,1.0,0.0,3.178552298346274,0.028806131346565747
1,50,781,93,0.8935926773455377,0.10640732265446225,3.6074066285172743,0.028449431371489937
2,101,874,0,1.0,0.0,2.552717100087238,0.028223848723736112
3,111,874,0,1.0,0.0,5.519145833954931,0.02865841355826386
4,116,874,0,1.0,0.0,7.317616364366676,0.029911983356751434
5,117,874,0,1.0,0.0,4.466797546097834,0.028636049389803474
6,118,874,0,1.0,0.0,3.1430293165692884,0.027734846664228725
7,123,874,0,1.0,0.0,7.632348513985117,0.030833884909694687
8,135,849,25,0.971395881006865,0.028604118993135013,10.860787105925372,0.030464767263538573
9,137,874,0,1.0,0.0,12.332025343002389,0.03188770965969263
10,138,442,432,0.505720823798627,0.494279176201373,12.598614928948933,0.02962635402310623
11,147,829,45,0.948512585812357,0.05148741418764302,8.73610002916886,0.031262518671359214
12,177,846,28,0.9679633867276888,0.032036613272311214,13.121249443250345,0.03254311264907593
13,187,310,564,0.35469107551487417,0.6453089244851259,4.608715521520184,0.022730248735376424
14,192,354,520,0.40503432494279173,0.5949656750572082,8.41706207647162,0.02520702467306575
15,203,874,0,1.0,0.0,3.755095606469453,0.028776795745057905
16,205,701,173,0.8020594965675057,0.19794050343249428,3.764362212695638,0.027784667483008813
17,206,745,129,0.8524027459954233,0.14759725400457666,3.053103146997074,0.028949097885543968
18,207,399,475,0.45652173913043476,0.5434782608695652,3.4914955695470176,0.02325961890398177
19,212,862,12,0.9862700228832952,0.013729977116704805,6.926430403563926,0.031255146464778075
20,213,331,543,0.37871853546910755,0.6212814645308925,11.002296430466759,0.030424095797169606
21,214,857,17,0.9805491990846682,0.019450800915331808,7.811261712878838,0.03061150898328301
22,215,448,426,0.5125858123569794,0.4874141876430206,14.828781447772469,0.033740590627400834
23,216,742,132,0.8489702517162472,0.15102974828375287,3.8801106749519185,0.028599445407330296
24,227,874,0,1.0,0.0,11.551670999903427,0.03152632808554662
